Unit: $/MW,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hard Coal,3239148,3222233,3205318,3188402,3171487,3154572,3137656,3120741,3103825,3086910,3069995,3053079,3036164,3025637,3015111,3004584,2994057,2983531,2973004,2962478,2951951,2941424,2930898,2919643,2908388,2897133,2885878,2874623,2863369,2852114,2840859,2829604,2818349
Natural Gas Nonpeaker,756459,751957,747455,742953,738451,733949,729447,724945,720443,715941,711440,706938,702436,700251,698066,695881,693697,691512,689327,687142,684957,682773,680588,678469,676351,674232,672114,669995,667877,665758,663639,661521,659402
Nuclear,5168496,5141087,5113678,5086270,5058861,5031452,5004043,4976634,4949225,4921816,4894407,4866998,4839589,4813240,4786890,4760541,4734191,4707841,4681492,4655142,4628793,4602443,4576093,4546897,4517700,4488504,4459308,4430111,4400915,4371718,4342522,4313325,4284129
Hydro,4342323,4337722,4333121,4328520,4323918,4319317,4314716,4310115,4305513,4300912,4296311,4291710,4287108,4282617,4278126,4273636,4269145,4264654,4260163,4255672,4251181,4246690,4242199,4237830,4233460,4229091,4224721,4220352,4215982,4211612,4207243,4202873,4198504
Onshore Wind,1273565,1251607,1229649,1207691,1185733,1163775,1141817,1119858,1097900,1075942,1053984,1032026,1010068,999454,988839,978224,967609,956994,946379,935764,925149,914535,903920,896593,889266,881940,874613,867286,859960,852633,845306,837979,830653
Solar PV,1376880,1340295,1303710,1267125,1230540,1193955,1157370,1120785,1084200,1047616,1011031,974446,937861,925944,914027,902110,890193,878276,866359,854442,842526,830609,818692,810562,802432,794302,786172,778042,769912,761782,753652,745522,737392
Solar Thermal,5905226,5742494,5579762,5417030,5254298,5091566,4928834,4766102,4603370,4440638,4277906,4115174,3952442,3894645,3836848,3779051,3721254,3663457,3605660,3547863,3490066,3432269,3374472,3356662,3338853,3321044,3303235,3285426,3267617,3249808,3231998,3214189,3196380
Biomass,3172414,3165528,3158643,3151758,3144872,3137987,3131102,3124217,3117331,3110446,3103561,3096675,3089790,3077343,3064897,3052450,3040004,3027557,3015111,3002664,2990217,2977771,2965324,2886761,2808198,2729634,2651071,2572508,2493944,2415381,2336818,2258254,2179691
Geothermal,4174891,4154698,4134506,4114313,4094121,4073928,4053735,4033543,4013350,3993158,3972965,3952773,3932580,3913348,3894115,3874883,3855650,3836417,3817185,3797952,3778720,3759487,3740255,3721982,3703709,3685437,3667164,3648892,3630619,3612346,3594074,3575801,3557529
Petroleum,808761,741364,673967,606571,539174,471777,404380,336984,269587,202190,134793,67397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Gas Peaker,772481,766588,760696,754804,748912,743019,737127,731235,725343,719450,713558,707666,701774,699523,697272,695021,692770,690519,688268,686017,683766,681515,679264,677278,675292,673305,671319,669333,667347,665361,663375,661388,659402
Lignite,3239148,3222233,3205318,3188402,3171487,3154572,3137656,3120741,3103825,3086910,3069995,3053079,3036164,3025637,3015111,3004584,2994057,2983531,2973004,2962478,2951951,2941424,2930898,2919643,2908388,2897133,2885878,2874623,2863369,2852114,2840859,2829604,2818349
Offshore Wind,3165926,3071418,2976910,2882403,2787895,2693387,2598879,2504372,2409864,2315356,2220849,2126341,2031833,1967614,1903395,1839176,1774958,1710739,1646520,1582301,1518082,1453863,1389644,1345982,1302320,1258657,1214995,1171333,1127671,1084008,1040346,996684,953022
Crude Oil,808761,741364,673967,606571,539174,471777,404380,336984,269587,202190,134793,67397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavy or Residual Fuel Oil,808761,741364,673967,606571,539174,471777,404380,336984,269587,202190,134793,67397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Municipal Solid Waste,1408833,1404411,1397288,1397288,1393004,1388651,1379498,1378740,1378724,1371581,1364746,1357489,1349600,1340402,1332737,1322657,1311883,1302898,1293794,1283911,1274689,1265934,1257621,1248472,1238451,1229862,1221468,1212984,1205472,1196793,1187373,1177805,1168609
