Unit: BTU,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cement and other nonmetallic minerals 239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chemicals 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
energy pipelines and gas processing 352T353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
food beverage and tobacco 10T12,8.05583E+11,8.08638E+11,7.64753E+11,7.99619E+11,8.14574E+11,8.21873E+11,8.24724E+11,8.23377E+11,8.23916E+11,8.26454E+11,8.27282E+11,8.31032E+11,8.3303E+11,8.38527E+11,8.45693E+11,8.45073E+11,8.44433E+11,8.43329E+11,8.42733E+11,8.42781E+11,8.44379E+11,8.47837E+11,8.47174E+11,8.47899E+11,8.48214E+11,8.52373E+11,8.5789E+11,8.61081E+11,8.64549E+11,8.68606E+11,8.73145E+11,8.78598E+11,8.8435E+11,
iron and steel 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
metal products except machinery and vehicles 25,65847698800,66097441446,62510323686,65360205325,66582640834,67179207714,67412266092,67302149919,67346258954,67553665269,67621340834,67927914270,68091211549,68540539759,69126261866,69075583400,69023236507,68933037179,68884339970,68888198207,69018856886,69301550963,69247327090,69306556244,69332312584,69672254557,70123251194,70384047168,70667575459,70999175298,71370191722,71815870249,72286053794,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other manufacturing 31T33,1.98185E+13,1.98937E+13,1.88141E+13,1.96718E+13,2.00397E+13,2.02193E+13,2.02894E+13,2.02563E+13,2.02695E+13,2.0332E+13,2.03523E+13,2.04446E+13,2.04938E+13,2.0629E+13,2.08053E+13,2.079E+13,2.07743E+13,2.07471E+13,2.07325E+13,2.07336E+13,2.0773E+13,2.0858E+13,2.08417E+13,2.08595E+13,2.08673E+13,2.09696E+13,2.11054E+13,2.11838E+13,2.12692E+13,2.1369E+13,2.14807E+13,2.16148E+13,2.17563E+13,
other metals 242,9.01967E+11,9.05388E+11,8.56253E+11,8.9529E+11,9.12034E+11,9.20206E+11,9.23399E+11,9.2189E+11,9.22494E+11,9.25335E+11,9.26262E+11,9.30462E+11,9.32699E+11,9.38853E+11,9.46876E+11,9.46182E+11,9.45465E+11,9.4423E+11,9.43563E+11,9.43616E+11,9.45405E+11,9.49278E+11,9.48535E+11,9.49346E+11,9.49699E+11,9.54355E+11,9.60533E+11,9.64105E+11,9.67989E+11,9.72531E+11,9.77613E+11,9.83718E+11,9.90159E+11,
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pulp paper and printing 17T18,3.01794E+14,3.02939E+14,2.86498E+14,2.9956E+14,3.05162E+14,3.07896E+14,3.08965E+14,3.0846E+14,3.08662E+14,3.09613E+14,3.09923E+14,3.11328E+14,3.12076E+14,3.14136E+14,3.1682E+14,3.16588E+14,3.16348E+14,3.15935E+14,3.15711E+14,3.15729E+14,3.16328E+14,3.17624E+14,3.17375E+14,3.17647E+14,3.17765E+14,3.19323E+14,3.2139E+14,3.22585E+14,3.23884E+14,3.25404E+14,3.27105E+14,3.29147E+14,3.31302E+14,
road vehicles 29,1397082435,1402381194,1326273763,1386739347,1412675609,1425332894,1430277665,1427941344,1428877200,1433277714,1434713578,1441218108,1444682766,1454216107,1466643300,1465568061,1464457424,1462543676,1461510473,1461592333,1464364502,1470362387,1469211926,1470468584,1471015053,1478227559,1487796299,1493329574,1499345159,1506380671,1514252481,1523708387,1533684212,
rubber and plastic products 22,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wood products 16,3.34252E+13,3.35519E+13,3.17311E+13,3.31777E+13,3.37982E+13,3.41011E+13,3.42194E+13,3.41635E+13,3.41859E+13,3.42911E+13,3.43255E+13,3.44811E+13,3.4564E+13,3.47921E+13,3.50894E+13,3.50637E+13,3.50371E+13,3.49913E+13,3.49666E+13,3.49686E+13,3.50349E+13,3.51784E+13,3.51509E+13,3.51809E+13,3.5194E+13,3.53666E+13,3.55955E+13,3.57279E+13,3.58718E+13,3.60401E+13,3.62285E+13,3.64547E+13,3.66934E+13,
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
